callsign,origin,destination,eobt,flight_date,aircraft_type
THD2477,VVPB,VVTS,20:32,2025-06-24,B777
SCO7314,VVTS,KJFK,20:43,2025-06-24,A321
VJC9415,EGLL,VVTS,20:54,2025-06-24,A320
ANA3552,VVPF,VVTS,20:31,2025-06-24,A321
CPA9664,VVTS,VVCA,20:17,2025-06-24,B787
PAL6345,VVTS,VVCA,20:18,2025-06-24,A380
PAL901,VVTS,VVPB,20:59,2025-06-24,A320
THD6323,RCTP,VVTS,20:54,2025-06-24,A321
CAL4404,VVTS,VVCA,20:36,2025-06-24,A330
UAE6518,VVPK,VVTS,20:55,2025-06-24,A330
AIC3293,VVTS,EGLL,20:48,2025-06-24,A350
AXM9051,VVTS,ZSPD,20:40,2025-06-24,A380
CES5996,VVPB,VVTS,20:37,2025-06-24,A350
CAL7587,VVPC,VVTS,21:25,2025-06-24,A330
PIC8394,RJAA,VVTS,21:52,2025-06-24,A380
CSN5724,VVTS,VVPK,21:53,2025-06-24,A330
ANA1012,VVPF,VVTS,21:39,2025-06-24,A380
AIC7938,VVPC,VVTS,21:47,2025-06-24,A350
HVN5197,RJAA,VVTS,21:09,2025-06-24,B737
AXM2012,RJAA,VVTS,21:17,2025-06-24,A321
UAE6387,VVTS,VVDN,21:09,2025-06-24,B777
SCO5543,VVPK,VVTS,21:24,2025-06-24,B737
BAV8009,RCTP,VVTS,21:52,2025-06-24,A380
AIC6215,VVTS,VVGL,21:37,2025-06-24,A350
THD1467,VVDN,VVTS,21:55,2025-06-24,A320
ANA2486,RPLL,VVTS,21:29,2025-06-24,A321
CSN7616,VVBM,VVTS,21:34,2025-06-24,B787
PAL5688,VVTS,VMMC,21:36,2025-06-24,B737
AXM2400,RKSI,VVTS,21:27,2025-06-24,A321
CAL4550,VVDN,VVTS,21:27,2025-06-24,B737
BAV8258,VVDL,VVTS,21:36,2025-06-24,A350
DAL2615,VVTS,EGLL,21:50,2025-06-24,A330
ANA542,WSSS,VVTS,21:39,2025-06-24,A380
PAL7722,VVCI,VVTS,21:14,2025-06-24,B737
CES8785,OMDB,VVTS,21:35,2025-06-24,A320
CAL4872,VVTS,WSSS,21:18,2025-06-24,A321
PIC1125,VVCT,VVTS,21:40,2025-06-24,A330
BAW926,VVTS,VLPL,21:53,2025-06-24,B737
SCO1155,VVTS,VVDN,21:59,2025-06-24,A350
AIC6096,RJAA,VVTS,21:18,2025-06-24,B787
PIC5597,VLPL,VVTS,21:09,2025-06-24,A330
CES704,VTBS,VVTS,21:55,2025-06-24,B787
BAV2218,VVCS,VVTS,22:17,2025-06-24,A320
PAL6501,VVTS,VVBM,22:46,2025-06-24,A380
HVN7318,VVTS,RCTP,22:42,2025-06-24,A330
UAE1798,VVTS,OMDB,22:45,2025-06-24,A330
DAL1350,RPLL,VVTS,22:27,2025-06-24,B777
THD446,VVTS,WSSS,22:49,2025-06-24,A380
THA1666,VTBS,VVTS,22:59,2025-06-24,A321
THD5514,VVPB,VVTS,22:01,2025-06-24,A380
VJC8236,VVTS,VHHH,22:28,2025-06-24,A380
THA578,VVTS,VVDN,22:44,2025-06-24,B787
ANA4541,VVTS,VVNB,22:42,2025-06-24,A321
PAL3745,VVTS,RKSI,22:30,2025-06-24,A330
SCO1374,VTBS,VVTS,22:38,2025-06-24,B737
BAW6401,VVTS,ZGGG,22:49,2025-06-24,B787
THD7104,VVTS,VVCI,22:29,2025-06-24,A321
DAL5979,VVCI,VVTS,22:09,2025-06-24,A330
THD3274,VVTS,WMKK,22:16,2025-06-24,A320
CAL4545,EGLL,VVTS,22:37,2025-06-24,A321
CPA4271,VVNB,VVTS,22:08,2025-06-24,A350
UAE3284,VVPK,VVTS,22:20,2025-06-24,A321
AIC7405,VIDP,VVTS,22:39,2025-06-24,A320
AXM4991,RCTP,VVTS,22:58,2025-06-24,B737
AXM5947,WSSS,VVTS,22:20,2025-06-24,A380
HVN1576,VVTS,VVDL,22:28,2025-06-24,A320
SCO5762,VHHH,VVTS,22:15,2025-06-24,A380
HVN4678,VVTS,OMDB,22:26,2025-06-24,A320
BAW3560,VIDP,VVTS,22:28,2025-06-24,A320
CES6420,VVCS,VVTS,23:10,2025-06-24,A330
THD6245,VIDP,VVTS,23:08,2025-06-24,A350
CAL8891,VVTS,VTBS,23:10,2025-06-24,B737
AIC592,VHHH,VVTS,23:07,2025-06-24,A350
PIC631,VVDL,VVTS,23:36,2025-06-24,A330
UAE6756,RPLL,VVTS,23:40,2025-06-24,A321
KAL5726,VVTS,VIDP,23:41,2025-06-24,A321
THA6136,VTBS,VVTS,23:48,2025-06-24,B737
CES9479,VVTS,VVPF,23:17,2025-06-24,A321
CPA6612,VVTS,EGLL,23:18,2025-06-24,A380
DAL9344,RJAA,VVTS,23:28,2025-06-24,A330
PAL3079,RJAA,VVTS,23:31,2025-06-24,A320
UAE1458,VTBS,VVTS,23:31,2025-06-24,A321
CAL1026,VVTS,ZSPD,23:40,2025-06-24,A330
AXM1544,VVTS,VVCT,23:54,2025-06-24,B777
SCO2707,VVTS,RJAA,23:07,2025-06-24,B787
AXM4585,VVTS,VVCT,23:53,2025-06-24,B737
AIC2408,VVNB,VVTS,23:46,2025-06-24,A321
SCO4624,VIDP,VVTS,23:32,2025-06-24,A350
SCO8700,VVDL,VVTS,23:22,2025-06-24,B777
BAW1410,VVTS,VVPF,23:49,2025-06-24,A380
PIC9828,VVTS,RCTP,23:33,2025-06-24,A320
VJC7086,VVCA,VVTS,23:24,2025-06-24,A321
PIC2531,VVTS,KJFK,23:50,2025-06-24,A321
DAL112,VVTS,WSSS,23:07,2025-06-24,B787
BAV8653,RPLL,VVTS,23:15,2025-06-24,A380
SIA4009,VVPB,VVTS,00:57,2025-06-25,B787
CES7488,ZGGG,VVTS,00:53,2025-06-25,B737
SCO6622,RPLL,VVTS,00:25,2025-06-25,A320
PAL2423,VVTS,VVTH,00:20,2025-06-25,B737
BAV8505,VVTS,VVDL,00:41,2025-06-25,A320
DAL2926,VVTS,WSSS,00:06,2025-06-25,A321
CAL4971,VVTS,ZGGG,00:44,2025-06-25,A380
THD3078,VVGL,VVTS,00:11,2025-06-25,A321
SCO9800,VVPB,VVTS,00:44,2025-06-25,A380
PIC4818,ZSPD,VVTS,00:25,2025-06-25,A320
PAL6956,VVTS,VVCT,00:59,2025-06-25,B737
AIC3628,KJFK,VVTS,00:23,2025-06-25,A330
VJC3195,VHHH,VVTS,00:56,2025-06-25,A380
HVN8585,VVTS,WMKK,00:11,2025-06-25,A380
BAW9333,VVTS,VVDL,01:53,2025-06-25,A321
CAL8134,ZSPD,VVTS,01:00,2025-06-25,B787
DAL5856,EGLL,VVTS,01:44,2025-06-25,A321
PIC9119,VVTS,VVPC,01:46,2025-06-25,A330
ANA2944,VVTS,VVCT,01:43,2025-06-25,B787
BAV2962,VVTS,VVPK,01:05,2025-06-25,A330
CPA5177,VVGL,VVTS,01:46,2025-06-25,B737
ANA7986,RCTP,VVTS,01:49,2025-06-25,A321
AXM4420,VVTS,EGLL,01:05,2025-06-25,B787
BAV9424,VVTS,VIDP,01:10,2025-06-25,A350
DAL5146,VVTS,VVPK,01:09,2025-06-25,B737
CAL1712,VVTS,EGLL,01:33,2025-06-25,A330
BAW5406,VVPB,VVTS,01:37,2025-06-25,A320
KAL1610,VVTS,VHHH,01:22,2025-06-25,A320
BAV2005,VVTS,VVTH,01:43,2025-06-25,A380
CES459,ZGGG,VVTS,01:24,2025-06-25,A320
HVN9849,WSSS,VVTS,01:16,2025-06-25,B737
DAL4960,VVTS,VVBM,01:56,2025-06-25,A380
UAE7981,VVCT,VVTS,01:27,2025-06-25,A321
CSN8499,WMKK,VVTS,01:11,2025-06-25,A330
UAE3107,VVTS,VTBS,02:23,2025-06-25,B737
AXM1713,VVTS,VVPC,02:07,2025-06-25,A380
CAL1181,VVPC,VVTS,02:04,2025-06-25,B787
THD3374,RCTP,VVTS,02:20,2025-06-25,B777
AXM3878,EGLL,VVTS,02:04,2025-06-25,A350
BAW5957,VVTS,VVNB,02:58,2025-06-25,B777
ANA8639,VVCS,VVTS,02:57,2025-06-25,B787
VJC5764,VVTS,VTBS,02:25,2025-06-25,A330
BAV7234,RKSI,VVTS,02:36,2025-06-25,B787
CAL8660,VVTS,EGLL,02:04,2025-06-25,B787
SCO3544,VVPF,VVTS,02:00,2025-06-25,A321
BAV7454,VVTS,VVCI,02:38,2025-06-25,B737
UAE2720,VVTS,VVPC,02:54,2025-06-25,A330
KAL2726,VVTS,RJAA,02:55,2025-06-25,B777
SIA6371,OMDB,VVTS,02:40,2025-06-25,B777
PAL6334,VVDN,VVTS,02:51,2025-06-25,B777
THD5188,VVTS,RCTP,03:23,2025-06-25,A321
KAL4895,VVKR,VVTS,03:59,2025-06-25,A350
ANA5172,VVDL,VVTS,03:20,2025-06-25,B777
HVN6374,VVNB,VVTS,03:18,2025-06-25,A380
CAL5290,RKSI,VVTS,03:53,2025-06-25,A350
SIA446,VIDP,VVTS,03:32,2025-06-25,B787
THA3343,VVPF,VVTS,03:08,2025-06-25,A380
CSN2788,VVCS,VVTS,03:14,2025-06-25,A320
KAL3271,ZGGG,VVTS,03:45,2025-06-25,B737
THD5094,VTBS,VVTS,03:37,2025-06-25,A330
CAL4741,VVPC,VVTS,03:18,2025-06-25,B737
BAW1964,VVTS,VVPK,03:04,2025-06-25,B777
AXM8132,VVPC,VVTS,03:25,2025-06-25,B737
CAL3008,RJAA,VVTS,03:09,2025-06-25,B777
THA2080,WMKK,VVTS,03:58,2025-06-25,B787
CAL8037,VVBM,VVTS,03:21,2025-06-25,A350
PIC2264,ZSPD,VVTS,03:18,2025-06-25,B737
AXM3219,VVTS,RCTP,03:46,2025-06-25,B777
AXM6976,VHHH,VVTS,03:30,2025-06-25,A350
DAL819,RPLL,VVTS,03:57,2025-06-25,B737
VJC7119,VVCI,VVTS,03:53,2025-06-25,B787
CAL8191,VVTH,VVTS,03:46,2025-06-25,A350
THA9542,VVBM,VVTS,04:37,2025-06-25,B777
AXM5844,VVTS,ZGGG,04:57,2025-06-25,A330
THD8280,VTBS,VVTS,04:11,2025-06-25,B777
CAL1832,VVTS,VLPL,04:35,2025-06-25,B787
CAL6960,VVTS,VVCS,04:31,2025-06-25,A321
CES463,VVTS,VVCI,04:04,2025-06-25,A380
CPA1142,VIDP,VVTS,04:06,2025-06-25,B777
ANA4374,VHHH,VVTS,04:24,2025-06-25,A380
AIC329,VVTS,VVTH,04:00,2025-06-25,B737
BAV3839,VVCS,VVTS,04:35,2025-06-25,A350
VJC8177,VVPK,VVTS,04:58,2025-06-25,A321
DAL4445,VVTS,WSSS,04:13,2025-06-25,A330
PIC8006,VVTS,VIDP,04:24,2025-06-25,A350
BAW8058,VVTS,VVCT,05:04,2025-06-25,B787
KAL9123,VVTS,VMMC,05:22,2025-06-25,A330
CES4247,VHHH,VVTS,05:48,2025-06-25,A320
THD4459,VVTS,ZSPD,05:46,2025-06-25,A321
PIC9632,EGLL,VVTS,05:08,2025-06-25,A330
THA6707,VVTS,VHHH,05:17,2025-06-25,B777
CAL4206,VVTS,VVCS,05:05,2025-06-25,B787
KAL9874,VVGL,VVTS,05:07,2025-06-25,B737
ANA1308,VVPF,VVTS,05:21,2025-06-25,A321
ANA2004,VVTS,RKSI,05:40,2025-06-25,B737
PIC1989,RPLL,VVTS,05:34,2025-06-25,B777
HVN7539,RJAA,VVTS,05:14,2025-06-25,A330
THD1203,WSSS,VVTS,05:23,2025-06-25,A330
AXM967,VVTS,RKSI,05:41,2025-06-25,B787
AIC1412,VVDN,VVTS,05:03,2025-06-25,A380
PIC798,VVTS,RCTP,05:29,2025-06-25,A380
HVN3509,VVTS,VTBS,05:15,2025-06-25,B787
PAL2009,VHHH,VVTS,05:31,2025-06-25,B777
THA2949,ZSPD,VVTS,05:35,2025-06-25,B777
BAW6104,VVPC,VVTS,05:06,2025-06-25,A320
SCO8936,VVTS,VVTH,05:02,2025-06-25,A380
BAW6245,VVTS,VVPF,05:36,2025-06-25,A320
KAL7020,VVTS,VVDL,05:21,2025-06-25,B787
BAV9187,RJAA,VVTS,05:46,2025-06-25,A320
CSN3795,VVTS,VVTH,05:40,2025-06-25,B777
AIC5223,VVTH,VVTS,05:54,2025-06-25,B737
CAL6798,VVTS,EGLL,05:38,2025-06-25,A320
AIC2001,VVTS,VVCA,05:50,2025-06-25,B777
PIC399,VVTS,VVNB,06:20,2025-06-25,B787
THA2542,VVTS,VVTH,06:37,2025-06-25,A350
AXM3709,VTBS,VVTS,06:04,2025-06-25,A350
HVN9811,VVPC,VVTS,06:36,2025-06-25,B737
CPA1338,VVTS,VVKR,06:23,2025-06-25,B737
PIC8870,VVTS,VVCT,06:06,2025-06-25,B787
CPA3643,EGLL,VVTS,06:41,2025-06-25,B777
SCO7880,VVDN,VVTS,06:33,2025-06-25,A320
CAL3832,VVTS,VHHH,06:20,2025-06-25,B777
THA8552,VMMC,VVTS,06:01,2025-06-25,B787
SCO8946,VVTS,VVDN,06:13,2025-06-25,B787
CPA2636,VVTS,ZSPD,06:57,2025-06-25,A330
THD5092,VVTS,RCTP,06:37,2025-06-25,B777
ANA3633,VVGL,VVTS,06:18,2025-06-25,B737
CPA4936,VHHH,VVTS,06:20,2025-06-25,A380
THD492,VVTS,RJAA,06:18,2025-06-25,A350
DAL9802,RKSI,VVTS,06:45,2025-06-25,B787
KAL4255,VVDN,VVTS,06:23,2025-06-25,A350
THA1981,VVTS,VMMC,06:17,2025-06-25,A321
BAV1235,VLPL,VVTS,06:33,2025-06-25,A380
THA8915,EGLL,VVTS,06:08,2025-06-25,B787
UAE5047,VVTS,VVDN,06:24,2025-06-25,A320
VJC9519,VVTS,WMKK,06:20,2025-06-25,A321
HVN634,VVTS,VVCS,06:03,2025-06-25,A380
ANA6276,VVTS,VIDP,06:26,2025-06-25,A321
PAL2985,VVTS,KJFK,06:10,2025-06-25,B787
BAW3569,VVTS,WMKK,06:01,2025-06-25,B737
PIC5573,VVTS,WMKK,06:33,2025-06-25,B787
CAL6573,VVPC,VVTS,06:11,2025-06-25,A321
THD1886,WMKK,VVTS,06:29,2025-06-25,A380
PIC3814,VVTS,VVTH,06:41,2025-06-25,B737
BAV3981,VVGL,VVTS,06:03,2025-06-25,A380
PIC8860,VVTS,VTBS,06:24,2025-06-25,B777
CPA8860,VVTS,VLPL,06:46,2025-06-25,A380
SIA3105,VVTS,VVGL,06:29,2025-06-25,A380
SCO959,VMMC,VVTS,06:06,2025-06-25,A320
SCO6015,VVTS,VHHH,06:11,2025-06-25,A320
PIC2059,VVTS,EGLL,06:11,2025-06-25,A380
PAL7745,RJAA,VVTS,06:31,2025-06-25,A321
KAL5608,VVTS,VVBM,06:41,2025-06-25,A380
AXM9462,VMMC,VVTS,06:48,2025-06-25,A350
ANA7666,VMMC,VVTS,06:24,2025-06-25,A330
KAL6034,VVTS,VMMC,06:16,2025-06-25,B777
BAV4228,WSSS,VVTS,06:18,2025-06-25,B787
BAW5597,VVTS,VVNB,06:30,2025-06-25,A321
CSN5219,WSSS,VVTS,06:55,2025-06-25,A330
KAL2801,VVCI,VVTS,06:39,2025-06-25,A321
CPA4091,VVDL,VVTS,06:22,2025-06-25,B787
PAL3060,VVTS,EGLL,06:39,2025-06-25,A320
PAL7892,VVTS,VVGL,06:11,2025-06-25,B787
SIA7260,KJFK,VVTS,06:04,2025-06-25,A380
ANA8224,VVCT,VVTS,06:21,2025-06-25,B777
BAW5217,VVTS,RJAA,06:27,2025-06-25,A380
AIC711,VVCT,VVTS,06:23,2025-06-25,A321
SCO3345,VVGL,VVTS,06:00,2025-06-25,B737
THD5844,VVTS,VVPK,07:35,2025-06-25,B737
CAL320,VVTS,RCTP,07:14,2025-06-25,A380
DAL7596,VVDL,VVTS,07:53,2025-06-25,B777
DAL5526,VVTS,VVBM,07:58,2025-06-25,A350
THD8002,VVTS,VVBM,07:31,2025-06-25,A350
ANA5930,VVTS,VVNB,07:28,2025-06-25,A321
PAL3110,VVTS,RJAA,07:46,2025-06-25,B737
UAE6116,VVPB,VVTS,07:04,2025-06-25,A330
CSN1245,VVTS,VVKR,07:16,2025-06-25,B777
KAL8669,VVTS,VVCT,07:53,2025-06-25,A330
CSN2607,VVTS,KJFK,07:25,2025-06-25,A330
VJC471,VVTS,VVCT,07:13,2025-06-25,A380
CAL9332,VVKR,VVTS,07:42,2025-06-25,A380
ANA2435,VVPB,VVTS,07:31,2025-06-25,B787
PIC3396,VVTS,VVPB,07:17,2025-06-25,A330
UAE4622,KJFK,VVTS,07:11,2025-06-25,A330
VJC3900,VVTS,VVDN,07:30,2025-06-25,A320
BAW4341,KJFK,VVTS,07:44,2025-06-25,A321
AIC5363,VVTS,VVNB,07:40,2025-06-25,A320
BAW3251,VVCS,VVTS,07:14,2025-06-25,B787
THD9072,VVPK,VVTS,07:49,2025-06-25,B737
KAL5500,VVTS,VVPB,07:15,2025-06-25,B787
ANA5281,VVTH,VVTS,07:10,2025-06-25,A350
KAL5237,VVTS,VVDN,07:05,2025-06-25,A330
KAL3874,VVDL,VVTS,07:43,2025-06-25,B777
SCO8826,VVTS,VIDP,07:57,2025-06-25,A380
CPA3383,VMMC,VVTS,07:13,2025-06-25,A380
CPA9121,VVTS,VVBM,07:52,2025-06-25,A330
PAL3747,RCTP,VVTS,07:39,2025-06-25,B777
THA6675,VVTS,VVCT,07:03,2025-06-25,A330
UAE6432,VVTS,VVPC,07:55,2025-06-25,A350
UAE5827,VVTS,RKSI,07:47,2025-06-25,A380
PAL2264,VVCI,VVTS,07:13,2025-06-25,B787
SCO789,RPLL,VVTS,07:59,2025-06-25,B777
PIC4595,WSSS,VVTS,07:16,2025-06-25,B777
DAL1973,VVTS,VVNB,07:14,2025-06-25,A330
SCO9032,VVGL,VVTS,07:45,2025-06-25,B737
AIC7942,VVTS,OMDB,07:18,2025-06-25,A350
PAL2251,VIDP,VVTS,07:57,2025-06-25,A350
THD8299,VVPB,VVTS,07:53,2025-06-25,A380
VJC5077,VVTS,RPLL,07:26,2025-06-25,B777
THA3342,VVTS,VVBM,07:48,2025-06-25,A320
PAL3383,VVTS,OMDB,07:46,2025-06-25,B787
SCO8530,VVTS,OMDB,07:51,2025-06-25,A321
THA7730,VVTS,ZGGG,07:43,2025-06-25,B787
THA9647,VVKR,VVTS,07:03,2025-06-25,B787
CES5686,VVTS,VVPK,07:23,2025-06-25,B737
ANA7846,WSSS,VVTS,07:36,2025-06-25,A320
KAL1213,VVNB,VVTS,07:37,2025-06-25,B777
CPA4029,VVTS,VVPC,07:43,2025-06-25,B787
CSN1435,VVNB,VVTS,07:11,2025-06-25,B737
VJC3329,VVTS,WSSS,07:29,2025-06-25,A380
THD3498,VVNB,VVTS,07:18,2025-06-25,B787
BAV6088,VMMC,VVTS,07:42,2025-06-25,B787
UAE9032,VVTS,VVPF,07:07,2025-06-25,A320
CES2146,VVCS,VVTS,07:28,2025-06-25,A350
CSN2794,VVTS,VVPK,07:54,2025-06-25,A330
UAE8957,OMDB,VVTS,07:02,2025-06-25,A330
SIA7074,VMMC,VVTS,07:03,2025-06-25,A380
HVN5966,VVCS,VVTS,07:46,2025-06-25,A330
CES2731,VVPF,VVTS,07:58,2025-06-25,A330
VJC5163,VVTS,RKSI,07:49,2025-06-25,A321
SCO4616,VVTS,VIDP,07:56,2025-06-25,A380
CSN2275,VVTS,VVPK,07:16,2025-06-25,B787
PIC4513,VVTS,VVNB,08:19,2025-06-25,A380
THA8827,VVNB,VVTS,08:07,2025-06-25,A321
CPA7257,RPLL,VVTS,08:42,2025-06-25,B737
BAV1012,VVTS,RJAA,08:39,2025-06-25,B777
UAE8807,VVTS,ZGGG,08:30,2025-06-25,A320
BAW2529,VVTS,VLPL,08:14,2025-06-25,B787
THA9548,VIDP,VVTS,08:39,2025-06-25,A320
CES3338,VVDL,VVTS,08:42,2025-06-25,A321
SCO9476,VVTS,VMMC,08:50,2025-06-25,A380
SCO9791,VVCT,VVTS,08:54,2025-06-25,B787
THD3814,ZGGG,VVTS,08:06,2025-06-25,B787
CES6766,VVCI,VVTS,08:43,2025-06-25,A320
CSN4359,VVTS,KJFK,08:39,2025-06-25,B787
BAV3277,OMDB,VVTS,08:13,2025-06-25,A350
CES6985,VVTS,VVCT,08:22,2025-06-25,B787
THD3533,VVTS,VVTH,08:03,2025-06-25,A380
AIC1148,VHHH,VVTS,08:45,2025-06-25,A321
ANA2217,VVPK,VVTS,08:26,2025-06-25,A350
UAE8931,VVTS,VMMC,08:52,2025-06-25,B737
BAW663,VVTS,VVDL,08:21,2025-06-25,A350
CSN8823,VVCA,VVTS,08:01,2025-06-25,B787
AXM3494,VVTS,RKSI,08:40,2025-06-25,A380
CSN3900,VVDL,VVTS,08:56,2025-06-25,B737
BAW7847,VVPC,VVTS,08:44,2025-06-25,B787
THA891,VVCA,VVTS,08:32,2025-06-25,A320
UAE1534,VVTS,OMDB,08:24,2025-06-25,A380
CSN2340,RKSI,VVTS,08:19,2025-06-25,A330
UAE884,WSSS,VVTS,08:38,2025-06-25,B777
THA267,VVTS,VVPK,08:26,2025-06-25,B787
UAE9237,VVTS,RPLL,08:14,2025-06-25,B777
UAE5595,VVPC,VVTS,08:25,2025-06-25,B737
ANA9620,VVTS,VVBM,08:13,2025-06-25,A350
ANA5036,RPLL,VVTS,08:55,2025-06-25,A320
UAE9171,VVPK,VVTS,08:50,2025-06-25,A330
HVN6975,VVDL,VVTS,08:54,2025-06-25,A350
CPA8484,VVCI,VVTS,08:58,2025-06-25,B787
THA1052,RKSI,VVTS,08:53,2025-06-25,B787
VJC4875,VVTS,VHHH,08:58,2025-06-25,A320
VJC4145,VVDN,VVTS,08:12,2025-06-25,B777
CSN7282,VMMC,VVTS,08:08,2025-06-25,B737
HVN6683,VVTS,ZGGG,08:43,2025-06-25,A330
ANA2666,VIDP,VVTS,08:55,2025-06-25,A380
AXM2493,VVTS,WMKK,08:07,2025-06-25,B777
ANA5636,VVTS,VVGL,08:56,2025-06-25,B787
AIC6768,VVKR,VVTS,08:36,2025-06-25,B787
CAL7254,VVTS,VHHH,08:15,2025-06-25,B737
BAW1425,VTBS,VVTS,09:45,2025-06-25,B737
KAL1567,VMMC,VVTS,09:09,2025-06-25,A321
CES6155,KJFK,VVTS,09:51,2025-06-25,A320
PIC4011,VVTS,VVCI,09:59,2025-06-25,A350
CSN6811,VVTS,WSSS,09:16,2025-06-25,B737
THD1945,VVTS,OMDB,09:56,2025-06-25,A330
BAW7998,VVBM,VVTS,09:27,2025-06-25,A330
PIC5285,VVTS,VVKR,09:11,2025-06-25,B777
DAL4305,VVTH,VVTS,09:35,2025-06-25,B787
PIC1282,RCTP,VVTS,09:41,2025-06-25,A320
HVN7407,RCTP,VVTS,09:00,2025-06-25,B777
THA7736,VVTS,VVPC,09:58,2025-06-25,A330
AIC8591,VVTS,VLPL,09:49,2025-06-25,B787
THD3343,RCTP,VVTS,09:23,2025-06-25,A380
UAE1359,VVTS,VVBM,09:43,2025-06-25,B777
THD8308,OMDB,VVTS,09:56,2025-06-25,A350
SCO5656,VVCS,VVTS,09:13,2025-06-25,B737
SIA6616,VVNB,VVTS,09:23,2025-06-25,A330
VJC7890,VVPF,VVTS,09:33,2025-06-25,B777
HVN1356,VVCS,VVTS,09:00,2025-06-25,B737
CES7769,VVTH,VVTS,09:38,2025-06-25,A350
THA3217,VVPK,VVTS,09:37,2025-06-25,B737
THD7322,ZSPD,VVTS,09:36,2025-06-25,A321
KAL1532,VVTS,WSSS,09:59,2025-06-25,A380
UAE604,VVTS,KJFK,09:50,2025-06-25,B777
CSN3187,VVTS,VVCA,09:12,2025-06-25,A320
BAW3942,VVKR,VVTS,09:32,2025-06-25,B737
CPA4705,VVCA,VVTS,09:15,2025-06-25,B777
CPA9761,VVTS,RCTP,09:05,2025-06-25,B787
SIA8206,VVTS,VVKR,09:49,2025-06-25,A330
UAE5744,VVCS,VVTS,09:59,2025-06-25,B737
DAL6588,VVTS,VVPK,09:48,2025-06-25,B777
SCO2955,VVTS,WMKK,10:51,2025-06-25,B787
SCO2529,VVTS,RJAA,10:32,2025-06-25,A350
SCO7664,VVTS,VVPC,10:56,2025-06-25,A320
AXM6673,KJFK,VVTS,10:51,2025-06-25,A330
BAV848,VVTS,RPLL,10:55,2025-06-25,B777
CAL1070,VLPL,VVTS,10:51,2025-06-25,B777
DAL6687,RJAA,VVTS,10:16,2025-06-25,A330
KAL7633,VVTS,VVDN,10:03,2025-06-25,B737
ANA5376,VVTS,VVPK,10:55,2025-06-25,B777
ANA756,VMMC,VVTS,10:19,2025-06-25,A380
VJC4180,VVTS,RCTP,10:13,2025-06-25,B777
VJC9209,VVTS,VVPF,10:07,2025-06-25,B787
CSN8313,VVTS,VVBM,10:29,2025-06-25,A380
AIC363,VVTS,VVCI,10:39,2025-06-25,B737
ANA8022,VVPB,VVTS,10:49,2025-06-25,A380
THD2801,VVTS,RCTP,10:15,2025-06-25,A350
CES6863,VVTS,ZGGG,10:14,2025-06-25,A350
AIC5842,VVTS,RCTP,10:35,2025-06-25,A320
VJC6708,VHHH,VVTS,11:34,2025-06-25,A350
PIC5296,VVTS,VLPL,11:24,2025-06-25,A380
CPA912,VVTS,VLPL,11:31,2025-06-25,B737
BAV2206,VVTS,VVKR,11:57,2025-06-25,A330
PAL1686,VVTH,VVTS,11:20,2025-06-25,A380
AXM4793,VVTS,VVGL,11:16,2025-06-25,B787
PIC1407,VVTS,VVPK,11:43,2025-06-25,B787
CPA946,VVPC,VVTS,11:45,2025-06-25,B737
BAV9083,VVTS,VMMC,11:58,2025-06-25,A330
ANA411,VVPK,VVTS,11:37,2025-06-25,B737
CES3923,VVTS,EGLL,11:05,2025-06-25,A350
DAL7355,VVTS,ZGGG,11:16,2025-06-25,A330
CSN9600,VVTS,EGLL,11:34,2025-06-25,B737
ANA2239,VTBS,VVTS,11:35,2025-06-25,A380
BAW4675,VVTS,RPLL,11:39,2025-06-25,B787
HVN5860,VVTS,RPLL,11:59,2025-06-25,A321
CSN3306,VVBM,VVTS,11:17,2025-06-25,B787
UAE1229,VVTS,VVCT,11:39,2025-06-25,A321
THA5767,VIDP,VVTS,11:02,2025-06-25,B777
CES9334,VVTS,VVDN,11:51,2025-06-25,A380
PAL3087,VVPC,VVTS,11:20,2025-06-25,A380
THD8274,VVTS,RCTP,11:45,2025-06-25,B737
THD529,VHHH,VVTS,11:46,2025-06-25,A350
KAL7881,VVTS,VTBS,11:31,2025-06-25,B737
CES3635,VVTS,VVCI,11:35,2025-06-25,A330
BAW4694,VVTS,VVBM,11:21,2025-06-25,A380
CSN4992,WSSS,VVTS,11:00,2025-06-25,B787
DAL2197,VLPL,VVTS,11:23,2025-06-25,B737
SCO8242,VVTH,VVTS,11:52,2025-06-25,B787
KAL4060,VVTS,RKSI,11:58,2025-06-25,A350
SCO247,VVTS,EGLL,11:13,2025-06-25,A320
CPA6161,EGLL,VVTS,11:07,2025-06-25,B737
SIA1042,VVTS,VVPB,11:47,2025-06-25,A321
PIC8988,EGLL,VVTS,11:37,2025-06-25,A320
CES2034,VVDN,VVTS,11:49,2025-06-25,B777
PAL7533,VVTS,VVDN,11:07,2025-06-25,A320
AIC5755,VVTS,OMDB,11:28,2025-06-25,A350
PIC9031,VVTS,VVNB,11:36,2025-06-25,A320
ANA9116,VVTS,VVGL,11:08,2025-06-25,A350
CSN8696,VLPL,VVTS,11:46,2025-06-25,B777
ANA2887,VVTS,VVPK,11:09,2025-06-25,A350
CPA8018,VVTS,VVPF,11:51,2025-06-25,B737
BAW3793,VVTS,EGLL,11:39,2025-06-25,B787
ANA8456,VVTH,VVTS,11:15,2025-06-25,A350
PIC9203,VVTS,VVDL,11:54,2025-06-25,A350
